NumberOfUniqueSenders	NumberOfUsers
1	36346100
2	10519246
3	6907419
4	5101209
5	3885409
6	2977558
7	2313368
8	1808318
9	1424813
10	1126542
11	894981
12	714650
13	572824
14	462064
15	373606
16	304231
17	248725
18	204659
19	168494
20	139271
21	115623
22	96463
23	80873
24	68093
25	56953
26	48246
27	40833
28	35050
29	29776
30	25396
31	22032
32	18944
33	16454
34	14508
35	12573
36	10940
37	9765
38	8350
39	7554
40	6533
41	5888
42	5120
43	4430
44	4070
45	3587
46	3121
47	2930
48	2657
49	2395
50	2075
51	1883
52	1852
53	1645
54	1502
55	1345
56	1189
57	1068
58	991
59	909
60	869
61	814
62	741
63	684
64	608
65	568
66	566
67	515
68	459
69	409
70	404
71	360
72	343
73	312
74	276
75	298
76	253
77	237
78	241
79	220
80	211
81	197
82	197
83	163
84	173
85	152
86	141
87	150
88	136
89	110
90	106
91	99
92	102
93	107
94	86
95	93
96	93
97	86
98	85
99	77
100	65
101	60
102	62
103	72
104	69
105	66
106	50
107	45
108	57
109	47
110	57
111	59
112	38
113	42
114	44
115	32
116	36
117	37
118	39
119	32
120	32
121	33
122	24
123	31
124	21
125	40
126	20
127	25
128	31
129	25
130	25
131	17
132	29
133	17
134	19
135	16
136	15
137	21
138	18
139	20
140	10
141	10
142	16
143	17
144	6
145	8
146	11
147	4
148	11
149	5
150	8
151	11
152	8
153	9
154	11
155	8
156	7
157	10
158	4
159	2
160	8
161	8
162	3
163	3
164	9
165	5
166	7
167	2
168	3
169	3
170	5
171	9
172	5
173	4
174	4
175	11
176	7
177	3
178	2
179	5
180	2
181	3
182	3
183	3
184	9
185	3
186	1
188	2
189	4
190	4
191	1
192	8
194	3
195	2
196	6
197	7
198	6
199	8
200	1
201	1
202	3
203	2
205	3
206	2
207	3
208	2
209	3
211	3
212	1
213	1
214	2
215	3
218	2
219	2
220	3
221	2
224	2
225	2
226	1
227	1
228	1
229	1
230	3
231	5
232	1
233	1
235	1
236	1
237	1
238	1
239	1
241	2
242	3
244	2
245	3
246	4
247	2
249	2
250	2
251	1
252	1
253	1
254	1
255	2
256	1
257	1
258	1
259	1
260	3
261	1
262	1
264	1
265	1
268	1
269	1
270	1
271	1
272	1
273	2
274	3
275	1
276	1
278	1
280	1
281	1
282	2
283	1
288	1
289	1
290	1
293	3
294	1
295	1
303	1
307	3
308	2
309	1
310	2
311	2
312	1
314	2
316	1
317	2
318	1
319	2
320	1
324	1
333	1
336	2
339	1
340	1
342	2
343	1
344	1
345	1
347	3
348	3
352	1
353	1
358	1
359	1
360	1
361	1
362	1
367	3
373	1
379	1
382	1
385	7
386	2
387	1
388	1
389	2
390	1
392	1
401	2
406	1
412	1
416	1
423	1
429	1
435	1
436	1
437	1
440	1
447	2
452	2
453	2
454	1
455	3
456	1
458	2
459	1
460	2
462	1
472	1
475	1
476	1
477	1
479	1
483	1
494	1
495	1
497	1
501	1
524	1
526	1
528	2
529	1
542	1
549	1
558	2
562	1
565	1
580	1
584	1
594	1
595	1
596	1
617	1
634	1
635	2
636	6
637	4
638	1
639	1
645	2
669	1
671	1
674	1
675	1
676	1
684	1
685	1
693	1
698	1
707	1
753	1
755	1
765	1
781	1
792	2
811	1
816	1
830	2
833	1
875	1
934	1
961	1
963	1
965	1
974	1
978	1
981	1
982	1
993	1
1022	1
1057	1
1110	1
1129	1
1146	1
1147	1
1165	1
1172	1
1186	1
1223	1
1244	1
1245	2
1248	2
1250	1
1251	2
1252	2
1285	1
1359	1
1379	1
1385	1
1437	1
1456	1
1475	1
1582	1
1621	1
1626	1
1627	2
1632	1
1639	1
1645	1
1649	1
1662	1
1670	1
1672	1
1675	2
1880	1
1956	1
2175	1
2357	1
2376	1
2515	1
3308	1
3561	1
3571	1
3937	1
3959	1
